subject_id,Country,State/Province,County,Location,Minimum Elevation,Maximum Elevation,Main Dropdown,Latitude ⁰,Latitude ',Latitude '',Longitude ⁰,Longitude ',Longitude '',"Primary Collector (*Last*, *First* *Middle*)",Other Collectors (as written),Collector Number  (numeric only),Collector Number (verbatim),Month #1,Day #1,Year #1,Month #2,Day #2,Year #2,subject_image_name,subject_nybg_bar_code,subject_resolved_name,subject_qr_code
16193435,Ecuador,,Quito,Quinche. Margen derecha del rio Caqueta (sur). Antes desembocadura del Q. del Quinche. Bosque primario bien drenado. Plano alluvial del rio Caqueta con inundacion anual.,,,,,,,,,,"Urrego G, Ligia E.","Wilson Rodriguez, Anibal Matapi",408,,3 - March,Not Shown,1989,,,,R0000261.JPG,NYBG 3196543,Brownea cauliflora,54808c50-0536-4ea9-8c3a-e112e06373e6
16193436,Colombia,,,"Filo San Pablo, s. end of northern section of Cordillera de la Paz, e. of Esmeralda.",155,,meters,7,3 N,,73,14 W,,"St. John, H.",G. Arcila,20631,,8 - August,4,1944,,,,R0000260.JPG,NYBG 3196542,Brownea birschellii,548f5ea9-8bca-4df5-a498-7980e316e366
16193437,Venezuela (Bolivarian Republic of),,,"Estado Bolivar: selva de galeria y sabana a lo largo del Rio Kanarakuni, norte y noroeste de la Mision de Campamento Sanidad del Rio Kanarakuni.",400,,meters,,,,,,,"Steyermark, Julian A.",,97807,Ninety seven thousand eight hundred and seven,3 - March,17,1967,3 - March,29,1967,R0000259.JPG,NYBG 3196541,Brownea bolivarensis,54c363dd-6c95-43d4-9ff8-2abde38ff3ac
16193439,Colombia,,Nuquí,"Mun. Nuqui; Corregimiento Termales, coastal zone between quebrada Piedra Piedra and Rio Terco. Area dominated by Phytelephas palm. In coastal forest.",0,70,meters,,,,,,,"Acevedo-Rdgz., P.",R. Callejas & S. P. Churchill,6907,,9 - September,9,1994,,,,R0000258.JPG,NYBG 3196540,Brownea ariza,54c86ef3-3fc3-46a1-a4d7-a9e5dac152fc
16193440,Ecuador,Esmeraldas,,"Prov. Esmeraldas, Borbon.",15,20,meters,1,05 N,,78,58 W,,"Cornejo, X.",C. Bonifaz,1832,,2 - February,22,1994,,,,R0000257.JPG,NYBG 3196539,Brownea angustiflora,57e816f5-8155-4bbd-85ef-d5003b6303c2
16193441,Costa Rica,Puntarenas,,Golfito airport.,10,,meters,,,,,,,"Davidse, Gerrit",Richard W. Pohl,1390,One thousand three hundred and ninety,12 - December,11,1968,,,,R0000256.JPG,NYBG 3196538,Brownea rosa-de-monte,580059be-d9f4-4eca-bdd7-65ddfad4d962
16193442,Panama,Canal Zone,,From yard in Cardenas Village. Canal Zone.,,,,,,,,,,"LeDoux, D. G.",,2667,,5 - May,30,1980,,,,R0000255.JPG,NYBG 3196537,Brownea macrophylla,58157d5b-e67a-4ce5-bd2b-ee045b677e25
16193444,Zambia,North-Western,Kasempa,"Kasempa District. On a rocky kopje by the road to Kasempa, about 75 miles S of Solwezi.",,,,,,,,,,"Brenan, J. P. M.",P. J. Greenway,7993,,9 - September,30,1947,,,,R0000252.JPG,NYBG 3196535,Brachystegia wangermeeana,557e1500-f1a8-4300-a70b-e7c35051c4ba
16193445,"Tanzania, United Republic of",Mbeya,,"Province Southern Highlands. District Chunya. Kipembabwe, Kisambya Hill, small rocky hill about 1 miles south of Railway Bus Station.",,,,,,,,,,"Hoyle, A.C.",Carmichael & A. C. Hoyle,1070,,7 - July,6,1949,,,,R0000251.JPG,NYBG 3196534,Brachystegia utilis,5582fa56-9977-46d1-a895-f38525a2ff61
16193446,Zimbabwe,Manicaland,Chimanimani,Southern Rhodesia. District Melsetter,,,,,,,,,,"Plowes, D. C.",,1233,,10 - October,Not Shown,1950,,,,R0000250.JPG,NYBG 3196533,Brachystegia tamarindoides,55862502-d9e9-4f86-b874-aa6fc3697f4f
16193447,Malawi,,Dedza,"Dzenza hill, Brachystegia woodland mountain slopes",,,,,,,,,,"Magombo, Z. L.","A. Chikuni, W. Nachamba",55,,3 - March,28,1990,,,,R0000249.JPG,NYBG 3196532,Brachystegia stipulata,558628e1-08ab-41fe-864c-0b76e009b6a7
16193448,"Tanzania, United Republic of",Iringa,Mufindi,Mufindi. 31 km NW of Mafinga on Madibira Road.,1640,,meters,- 08,12 S,,35,06 E,,"Gereau, R.",J. Lovett,2769,,1 - January,2,1989,,,,R0000248.JPG,NYBG 3196531,Brachystegia taxifolia,559700de-7fa2-44dd-bf04-9d372cd125f6
16193449,Malawi,Lilongwe,,"Lilongwe ""Old Town""; 15 Livingstone Ave.",1000,,meters,,,,,,,"Kitchin, A.",,228,,5 - May,11,1982,,,,R0000247.JPG,NYBG 3196530,Brachystegia spiciformis,56214beb-85d2-4cfb-965f-33aeff0280e8
16193451,Gabon,,,"Chantier CEB, 35 km SW of Doussala, primary rain forest in a rather mountainous area.",,,,2,30 S,,10,30 E,,"Reitsma, J. M.","B. Reitsma, Breteler, A. M. Louis",1036,,5 - May,18,1985,,,,R0000246.JPG,NYBG 3196529,Brachystegia mildbraedii,56267d71-a3b3-494a-b60c-adafb0df8ab8
16193452,Zambia,,Mbala,Itembwe Gorge. Top of escarpment. Burnt grass. Growing among the rocks.,5400,,unknown,,,,,,,"Sanane, M.",,314,,10 - October,19,1968,,,,R0000245.JPG,NYBG 3196528,Brachystegia microphylla,5638b895-cc7e-495e-9151-8d939b3c1332
16193453,Zambia,,,At Ft. Jameson airport 7 mls N.W. of Ft. Jameson.,,,,,,,,,,"Angus, A.",,2899,,5 - May,27,1961,,,,R0000244.JPG,NYBG 3196527,Brachystegia manga,56cbd6b5-560c-4647-a1b1-5c8e9f938bbb
16193455,"Tanzania, United Republic of",,,"Tanganyika Territory. Province Western. District Kigoma. Npanda, ± S.W. of Forest Station above edge of grey soil of flat valley where no. 1054 coll.",40,,feet,,,,,,,"Greenway, P. J.",A. C. Hoyle et al.,1055,,7 - July,1,1949,,,,R0000243.JPG,NYBG 3196526,Brachystegia longifolia,5748d32f-0559-40db-84f2-3e96322a00df
16193456,Congo (Democratic Republic of the),Tshopo,,Congo Belgica: Yangambi,470,,meters,,,,,,,"Louis, Jean",,5754,,8 - August,11,1937,,,,R0000242.JPG,NYBG 3196525,Brachystegia laurentii,57494975-2aa9-4a88-85b2-b492f7595902
16193457,Zambia,Southern,Gwembe District,"Escarpment hills, between plateau and Gwembe Valley. S.P. Chomba, Mazabuka and Gwembe.",2000,4000,feet,,,,,,,"Bainbridge, W. R.",,574,,8 - August,23,1961,,,,R0000241.JPG,NYBG 3196524,Brachystegia glaucescens,5764c6ab-0c53-4f5c-8915-2c2da3ea43b4
16193458,Zambia,Northern,,"Misamfo, 4 mls. N. of Kasama.",,,,,,,,,,"Angus, A.",,2691,,4 - April,5,1961,,,,R0000240.JPG,NYBG 3196523,Brachystegia glaberrima,577d8266-bd69-4342-946c-a047a638cab3
16193459,"Tanzania, United Republic of",,Not shown,"Itigi Thicket, Rd. Singida - Itigi, dry loam soil",4500,,feet,,,,,,,"Richards, M.",,27267,,9 - September,27,1971,,,,R0000239.JPG,NYBG 3196522,Brachystegia floribunda,5792def1-4039-4067-8248-8e314f5226f8
16193461,Nigeria,Oyo,,Province: Oyo. Dist: Ibadan. Ljaiye Forest. Enumeration line 3 ml. 40 ch. East of the line of Hills. High Forest.,,,,,,,,,,"Onochie, C.",,21983,F.H.I. 21983,4 - April,21,1947,,,,R0000238.JPG,NYBG 3196521,Brachystegia eurycoma,58269656-d652-4369-b539-aad89039d5be
